Date,ticker,side,qty,price,notional,fees,slippage
2017-06-26,PEP,-1,-546.2144006539637,91.30529022216795,-49872.26437523768,0.0,0.0
2017-06-26,KO,1,1420.768924842178,35.35565185546875,50232.21147378869,0.0,0.0
2017-06-27,PEP,1,548.3624724808407,90.38536834716795,49563.94406294454,0.0,0.0
2017-06-27,KO,-1,-1419.8268806055062,35.059913635253906,-49779.007811041,0.0,0.0
2017-06-28,KO,1,1419.8268806055062,35.27003860473633,50077.34889099856,0.0,0.0
2017-06-28,PEP,-1,-548.3624724808407,90.72838592529295,-49752.04203018955,0.0,0.0
2017-06-29,PEP,1,553.186880955679,89.7928695678711,49672.23744831072,0.0,0.0
2017-06-29,KO,-1,-1426.1301530909461,34.88869857788086,-49755.8250440171,0.0,0.0
2017-06-30,KO,1,1426.1301530909461,34.90427017211914,49778.032164092016,0.0,0.0
2017-06-30,PEP,-1,-553.186880955679,90.0345687866211,-49805.94228526046,0.0,0.0
2017-07-03,KO,-1,-1433.1288365023618,34.834232330322266,-49921.942850007705,0.0,0.0
2017-07-03,PEP,1,556.8370878514675,89.9955825805664,50112.87812365885,0.0,0.0
2017-07-05,KO,1,1433.1288365023618,34.880924224853516,49988.85835049136,0.0,0.0
2017-07-05,PEP,-1,-556.8370878514675,89.88643646240234,-50052.101517070085,0.0,0.0
2017-07-06,KO,-1,-1435.3696537895667,34.554054260253906,-49597.84090056655,0.0,0.0
2017-07-06,PEP,1,555.5828249151972,89.7539291381836,49865.74149783047,0.0,0.0
2017-07-07,KO,1,1435.3696537895667,34.5462760925293,49586.67635465256,0.0,0.0
2017-07-07,PEP,-1,-555.5828249151972,90.05013275146484,-50030.307138047356,0.0,0.0
2017-07-10,PEP,1,557.078675887502,89.08344268798828,49626.48629612468,0.0,0.0
2017-07-10,KO,-1,-1447.0082041143555,34.538490295410156,-49977.47881518255,0.0,0.0
2017-07-11,PEP,-1,-557.078675887502,88.67027282714844,-49396.3181771314,0.0,0.0
2017-07-11,KO,1,1447.0082041143555,34.499576568603516,49921.170333240676,0.0,0.0
2017-07-12,KO,-1,-1447.6602646017952,34.63966369628906,-50146.46471228702,0.0,0.0
2017-07-12,PEP,1,561.2715280338153,89.4732666015625,50218.797063635924,0.0,0.0
2017-07-13,PEP,-1,-561.2715280338153,88.88855743408203,-49890.61645574878,0.0,0.0
2017-07-13,KO,1,1447.6602646017952,34.57741928100586,50056.35594558816,0.0,0.0
2017-07-14,KO,-1,-1443.432027469611,34.771968841552734,-50190.97348407261,0.0,0.0
2017-07-14,PEP,1,558.8261376736951,89.59799194335938,50069.69978102637,0.0,0.0
