Date,spread,z,side,entry_flag,exit_flag,w_x,w_y,x,y
2019-11-08,-17.477319041939438,0.6856368532415273,1,1,0,-1.0,1.0,43.74619674682617,111.17947387695312
2019-11-11,-17.18360354825809,0.8844650004972493,0,0,1,-0.0,0.0,43.43618392944336,110.56144714355467
2019-11-12,-17.20565703684656,0.8111177735109846,1,1,0,-1.0,1.0,43.3272590637207,110.21904754638672
2019-11-13,-17.83659598906172,0.19363022915882372,0,0,1,-0.0,0.0,43.913780212402344,111.31305694580078
2019-11-14,-18.34531291772865,-0.25757652933603464,1,1,0,-1.0,1.0,44.09811782836914,111.34647369384766
2019-11-15,-18.043026659064736,0.052513814657140806,0,0,1,-0.0,0.0,44.13163375854492,111.74732971191406
2019-11-18,-18.721364893382315,-0.5492817683263534,1,1,0,-1.0,1.0,44.43327331542969,111.95610809326172
2019-11-19,-18.418687011196184,-0.2290394065853959,0,0,1,-0.0,0.0,44.47517013549805,112.38200378417967
2019-11-20,-19.456800443311664,-1.1501274776967323,1,1,0,-1.0,1.0,44.592472076416016,111.68887329101562
2019-11-21,-18.674095576885748,-0.36333671666594114,0,0,1,-0.0,0.0,44.37460708618164,111.83084106445312
2019-11-22,-18.71300307697608,-0.3472525100352701,1,1,0,-1.0,1.0,44.43327331542969,111.96446990966795
2019-11-25,-19.381628018995244,-0.9876248159336274,0,0,1,-0.0,0.0,44.592472076416016,111.76404571533205
2019-11-26,-19.495641943278997,-1.0414973378465926,1,1,0,-1.0,1.0,45.16223907470703,113.3257064819336
